Word	Frequency	Type
people	372	(noun)
history	187	(noun)
way	185	(noun)
art	183	(noun)
world	169	(noun)
information	168	(noun)
map	167	(noun)
two	164	(noun)
family	159	(noun)
government	143	(noun)
health	122	(noun)
system	111	(noun)
computer	109	(noun)
meat	99	(noun)
year	96	(noun)
thanks	84	(noun)
music	80	(noun)
person	80	(noun)
reading	77	(noun)
method	76	(noun)
data	74	(noun)
food	73	(noun)
understanding	73	(noun)
theory	71	(noun)
law	70	(noun)
bird	68	(noun)
literature	67	(noun)
problem	66	(noun)
software	63	(noun)
control	62	(noun)
knowledge	62	(noun)
power	62	(noun)
ability	61	(noun)
economics	61	(noun)
love	60	(noun)
internet	59	(noun)
television	59	(noun)
science	58	(noun)
library	57	(noun)
nature	57	(noun)
fact	56	(noun)
product	56	(noun)
idea	55	(noun)
temperature	55	(noun)
investment	52	(noun)
area	50	(noun)
society	50	(noun)
activity	48	(noun)
story	48	(noun)
industry	47	(noun)
media	47	(noun)
thing	47	(noun)
oven	45	(noun)
community	44	(noun)
definition	44	(noun)
safety	44	(noun)
quality	43	(noun)
development	42	(noun)
language	42	(noun)
management	41	(noun)
player	41	(noun)
variety	41	(noun)
video	41	(noun)
week	41	(noun)
security	38	(noun)
country	37	(noun)
exam	37	(noun)
movie	37	(noun)
organization	37	(noun)
equipment	35	(noun)
physics	35	(noun)
analysis	34	(noun)
policy	34	(noun)
series	34	(noun)
thought	34	(noun)
basis	33	(noun)
boyfriend	33	(noun)
direction	33	(noun)
strategy	33	(noun)
technology	33	(noun)
army	32	(noun)
camera	32	(noun)
freedom	32	(noun)
paper	32	(noun)
environment	31	(noun)
child	30	(noun)
instance	30	(noun)
month	30	(noun)
truth	30	(noun)
marketing	29	(noun)
university	29	(noun)
writing	29	(noun)
article	28	(noun)
department	28	(noun)
difference	28	(noun)
goal	28	(noun)
news	28	(noun)
audience	27	(noun)
fishing	27	(noun)
growth	27	(noun)
income	27	(noun)
marriage	27	(noun)
user	27	(noun)
combination	26	(noun)
failure	26	(noun)
meaning	26	(noun)
medicine	26	(noun)
philosophy	26	(noun)
teacher	25	(noun)
communication	24	(noun)
night	24	(noun)
chemistry	23	(noun)
disease	23	(noun)
disk	23	(noun)
energy	23	(noun)
nation	23	(noun)
road	23	(noun)
role	23	(noun)
soup	23	(noun)
advertising	22	(noun)
location	22	(noun)
success	22	(noun)
addition	21	(noun)
apartment	21	(noun)
education	21	(noun)
math	21	(noun)
moment	21	(noun)
painting	21	(noun)
politics	21	(noun)
attention	20	(noun)
decision	20	(noun)
event	20	(noun)
property	20	(noun)
shopping	20	(noun)
student	20	(noun)
wood	20	(noun)
competition	19	(noun)
distribution	19	(noun)
entertainment	19	(noun)
office	19	(noun)
population	19	(noun)
president	19	(noun)
unit	19	(noun)
category	18	(noun)
cigarette	18	(noun)
context	18	(noun)
introduction	18	(noun)
opportunity	18	(noun)
performance	18	(noun)
driver	17	(noun)
flight	17	(noun)
length	17	(noun)
magazine	17	(noun)
newspaper	17	(noun)
relationship	17	(noun)
teaching	17	(noun)
cell	16	(noun)
dealer	16	(noun)
finding	16	(noun)
lake	16	(noun)
member	16	(noun)
message	16	(noun)
phone	16	(noun)
scene	16	(noun)
appearance	15	(noun)
association	15	(noun)
concept	15	(noun)
customer	15	(noun)
death	15	(noun)
discussion	15	(noun)
housing	15	(noun)
inflation	15	(noun)
insurance	15	(noun)
mood	15	(noun)
woman	15	(noun)
advice	14	(noun)
blood	14	(noun)
effort	14	(noun)
expression	14	(noun)
importance	14	(noun)
opinion	14	(noun)
payment	14	(noun)
reality	14	(noun)
responsibility	14	(noun)
situation	14	(noun)
skill	14	(noun)
statement	14	(noun)
wealth	14	(noun)
application	13	(noun)
city	13	(noun)
county	13	(noun)
depth	13	(noun)
estate	13	(noun)
foundation	13	(noun)
grandmother	13	(noun)
heart	13	(noun)
perspective	13	(noun)
photo	13	(noun)
recipe	13	(noun)
studio	13	(noun)
topic	13	(noun)
collection	12	(noun)
depression	12	(noun)
imagination	12	(noun)
passion	12	(noun)
percentage	12	(noun)
resource	12	(noun)
setting	12	(noun)
ad	11	(noun)
agency	11	(noun)
college	11	(noun)
connection	11	(noun)
criticism	11	(noun)
debt	11	(noun)
description	11	(noun)
memory	11	(noun)
patience	11	(noun)
secretary	11	(noun)
solution	11	(noun)
administration	10	(noun)
aspect	10	(noun)
attitude	10	(noun)
director	10	(noun)
personality	10	(noun)
psychology	10	(noun)
recommendation	10	(noun)
response	10	(noun)
selection	10	(noun)
storage	10	(noun)
version	10	(noun)
alcohol	9	(noun)
argument	9	(noun)
complaint	9	(noun)
contract	9	(noun)
emphasis	9	(noun)
highway	9	(noun)
loss	9	(noun)
membership	9	(noun)
possession	9	(noun)
preparation	9	(noun)
steak	9	(noun)
union	9	(noun)
agreement	8	(noun)
cancer	8	(noun)
currency	8	(noun)
employment	8	(noun)
engineering	8	(noun)
entry	8	(noun)
interaction	8	(noun)
mixture	8	(noun)
preference	8	(noun)
region	8	(noun)
republic	8	(noun)
tradition	8	(noun)
virus	8	(noun)
actor	7	(noun)
classroom	7	(noun)
delivery	7	(noun)
device	7	(noun)
difficulty	7	(noun)
drama	7	(noun)
election	7	(noun)
engine	7	(noun)
football	7	(noun)
guidance	7	(noun)
hotel	7	(noun)
owner	7	(noun)
priority	7	(noun)
protection	7	(noun)
suggestion	7	(noun)
tension	7	(noun)
variation	7	(noun)
anxiety	6	(noun)
atmosphere	6	(noun)
awareness	6	(noun)
bath	6	(noun)
bread	6	(noun)
candidate	6	(noun)
climate	6	(noun)
comparison	6	(noun)
confusion	6	(noun)
construction	6	(noun)
elevator	6	(noun)
emotion	6	(noun)
employee	6	(noun)
employer	6	(noun)
guest	6	(noun)
height	6	(noun)
leadership	6	(noun)
mall	6	(noun)
manager	6	(noun)
operation	6	(noun)
recording	6	(noun)
sample	6	(noun)
transportation	6	(noun)
charity	5	(noun)
cousin	5	(noun)
disaster	5	(noun)
editor	5	(noun)
efficiency	5	(noun)
excitement	5	(noun)
extent	5	(noun)
feedback	5	(noun)
guitar	5	(noun)
homework	5	(noun)
leader	5	(noun)
mom	5	(noun)
outcome	5	(noun)
permission	5	(noun)
presentation	5	(noun)
promotion	5	(noun)
reflection	5	(noun)
refrigerator	5	(noun)
resolution	5	(noun)
revenue	5	(noun)
session	5	(noun)
singer	5	(noun)
tennis	5	(noun)
basket	4	(noun)
bonus	4	(noun)
cabinet	4	(noun)
childhood	4	(noun)
church	4	(noun)
clothes	4	(noun)
coffee	4	(noun)
dinner	4	(noun)
drawing	4	(noun)
hair	4	(noun)
hearing	4	(noun)
initiative	4	(noun)
judgment	4	(noun)
lab	4	(noun)
measurement	4	(noun)
mode	4	(noun)
mud	4	(noun)
orange	4	(noun)
poetry	4	(noun)
police	4	(noun)
possibility	4	(noun)
procedure	4	(noun)
queen	4	(noun)
ratio	4	(noun)
relation	4	(noun)
restaurant	4	(noun)
satisfaction	4	(noun)
sector	4	(noun)
signature	4	(noun)
significance	4	(noun)
song	4	(noun)
tooth	4	(noun)
town	4	(noun)
vehicle	4	(noun)
volume	4	(noun)
wife	4	(noun)
accident	3	(noun)
airport	3	(noun)
appointment	3	(noun)
arrival	3	(noun)
assumption	3	(noun)
baseball	3	(noun)
chapter	3	(noun)
committee	3	(noun)
conversation	3	(noun)
database	3	(noun)
enthusiasm	3	(noun)
error	3	(noun)
explanation	3	(noun)
farmer	3	(noun)
gate	3	(noun)
girl	3	(noun)
hall	3	(noun)
historian	3	(noun)
hospital	3	(noun)
injury	3	(noun)
instruction	3	(noun)
maintenance	3	(noun)
manufacturer	3	(noun)
meal	3	(noun)
perception	3	(noun)
pie	3	(noun)
poem	3	(noun)
presence	3	(noun)
proposal	3	(noun)
reception	3	(noun)
replacement	3	(noun)
revolution	3	(noun)
river	3	(noun)
son	3	(noun)
speech	3	(noun)
tea	3	(noun)
village	3	(noun)
warning	3	(noun)
winner	3	(noun)
worker	3	(noun)
writer	3	(noun)
assistance	2	(noun)
breath	2	(noun)
buyer	2	(noun)
chest	2	(noun)
chocolate	2	(noun)
conclusion	2	(noun)
contribution	2	(noun)
cookie	2	(noun)
courage	2	(noun)
dad	2	(noun)
desk	2	(noun)
drawer	2	(noun)
establishment	2	(noun)
examination	2	(noun)
garbage	2	(noun)
grocery	2	(noun)
honey	2	(noun)
impression	2	(noun)
improvement	2	(noun)
independence	2	(noun)
insect	2	(noun)
inspection	2	(noun)
inspector	2	(noun)
king	2	(noun)
ladder	2	(noun)
menu	2	(noun)
penalty	2	(noun)
piano	2	(noun)
potato	2	(noun)
profession	2	(noun)
professor	2	(noun)
quantity	2	(noun)
reaction	2	(noun)
requirement	2	(noun)
salad	2	(noun)
sister	2	(noun)
supermarket	2	(noun)
tongue	2	(noun)
weakness	2	(noun)
wedding	2	(noun)
affair	1	(noun)
ambition	1	(noun)
analyst	1	(noun)
apple	1	(noun)
assignment	1	(noun)
assistant	1	(noun)
bathroom	1	(noun)
bedroom	1	(noun)
beer	1	(noun)
birthday	1	(noun)
celebration	1	(noun)
championship	1	(noun)
cheek	1	(noun)
client	1	(noun)
consequence	1	(noun)
departure	1	(noun)
diamond	1	(noun)
dirt	1	(noun)
ear	1	(noun)
fortune	1	(noun)
friendship	1	(noun)
funeral	1	(noun)
gene	1	(noun)
girlfriend	1	(noun)
hat	1	(noun)
indication	1	(noun)
intention	1	(noun)
lady	1	(noun)
midnight	1	(noun)
negotiation	1	(noun)
obligation	1	(noun)
passenger	1	(noun)
pizza	1	(noun)
platform	1	(noun)
poet	1	(noun)
pollution	1	(noun)
recognition	1	(noun)
reputation	1	(noun)
shirt	1	(noun)
sir	1	(noun)
speaker	1	(noun)
stranger	1	(noun)
surgery	1	(noun)
sympathy	1	(noun)
tale	1	(noun)
throat	1	(noun)
trainer	1	(noun)
uncle	1	(noun)
youth	1	(noun)
time	369	(noun, adjective, verb)
work	224	(noun, adjective, verb)
film	209	(noun, verb)
water	201	(noun, verb, adjective)
money	174	(noun, adjective)
example	147	(noun, verb)
while	147	(noun, conjunction, preposition)
business	127	(noun, adjective)
study	118	(noun, verb)
game	117	(noun, adjective, verb)
life	107	(noun, adjective)
form	99	(noun, verb)
air	98	(noun, verb)
day	98	(noun, adjective)
place	98	(noun, verb)
number	97	(noun, verb)
part	96	(noun, verb, adverb)
field	95	(noun, verb, adjective)
fish	92	(noun, verb)
back	86	(noun, adverb, verb)
process	85	(noun, verb)
heat	84	(noun, verb)
hand	81	(noun, verb)
experience	80	(noun, verb)
job	80	(noun, verb)
book	77	(noun, verb)
end	76	(noun, verb)
point	74	(noun, verb)
type	74	(noun, verb)
home	72	(noun, adjective, adverb)
economy	71	(noun, adjective)
value	70	(noun, verb)
body	69	(noun, verb)
market	69	(noun, verb)
guide	68	(noun, verb)
interest	67	(noun, verb)
state	63	(noun, verb)
radio	62	(noun, verb)
course	61	(noun, verb)
company	60	(noun, verb)
price	60	(noun, verb)
size	60	(noun, verb, adjective)
card	58	(noun, verb)
list	58	(noun, verb)
mind	58	(noun, verb)
trade	58	(noun, verb)
line	56	(noun, verb)
care	55	(noun, verb)
group	55	(noun, verb)
risk	55	(noun, verb)
word	55	(noun, verb, interjection)
fat	54	(noun, adjective, verb)
force	54	(noun, verb)
key	54	(noun, adjective, verb)
light	54	(noun, verb, adjective)
training	54	(noun, adjective)
name	53	(noun, verb, adjective)
school	53	(noun, verb)
top	53	(noun, adjective, verb)
amount	51	(noun, verb)
level	51	(noun, adjective, verb)
order	51	(noun, verb)
practice	51	(noun, verb)
research	51	(noun, verb)
sense	51	(noun, verb)
service	51	(noun, verb)
piece	50	(noun, verb)
web	49	(noun, verb)
boss	48	(noun, verb, adjective)
sport	47	(noun, verb)
fun	46	(noun, adjective, verb)
house	46	(noun, adjective, verb)
page	46	(noun, verb)
term	46	(noun, verb)
test	46	(noun, verb)
answer	45	(noun, verb)
sound	45	(noun, verb, adjective)
focus	44	(noun, verb)
matter	44	(noun, verb)
kind	43	(noun, adjective)
soil	43	(noun, verb)
board	42	(noun, verb)
oil	42	(noun, verb)
picture	42	(noun, verb)
access	41	(noun, verb, adjective)
garden	41	(noun, verb)
range	41	(noun, verb)
rate	41	(noun, verb)
reason	41	(noun, verb)
future	40	(noun, adjective)
site	40	(noun, verb)
demand	39	(noun, verb)
exercise	39	(noun, verb)
image	39	(noun, verb)
case	38	(noun, verb)
cause	38	(noun, verb)
coast	38	(noun, verb)
action	37	(noun, adjective)
age	37	(noun, verb)
bad	37	(noun, adverb, adjective)
boat	37	(noun, verb)
record	37	(noun, verb)
result	37	(noun, verb)
section	37	(noun, verb)
building	36	(noun, verb)
mouse	36	(noun, verb)
cash	35	(noun, verb)
class	35	(noun, verb, adjective)
nothing	35	(noun, pronoun, adjective)
period	35	(noun, adjective)
plan	35	(noun, verb)
store	35	(noun, verb)
tax	35	(noun, verb)
side	34	(noun, verb)
subject	34	(noun, adjective, adverb)
space	33	(noun, verb)
rule	32	(noun, verb)
stock	32	(noun, adjective, verb)
weather	32	(noun, verb)
chance	31	(noun, adjective, verb)
figure	31	(noun, verb)
man	31	(noun, verb, interjection)
model	31	(noun, verb)
source	31	(noun, verb)
beginning	30	(noun, adjective, verb)
earth	30	(noun, verb)
program	30	(noun, verb)
chicken	29	(noun, adjective)
design	29	(noun, verb)
feature	29	(noun, verb)
head	29	(noun, adjective, verb)
material	29	(noun, adjective)
purpose	29	(noun, verb)
question	29	(noun, verb)
rock	29	(noun, verb)
salt	29	(noun, adjective, verb)
act	28	(noun, verb)
birth	28	(noun, verb)
car	28	(noun, adjective)
dog	28	(noun, verb)
object	28	(noun, verb)
scale	28	(noun, verb)
sun	28	(noun, verb)
note	27	(noun, verb)
profit	27	(noun, verb)
rent	27	(noun, verb)
speed	27	(noun, verb)
style	27	(noun, verb)
war	27	(noun, verb)
bank	26	(noun, verb)
craft	26	(noun, verb)
half	26	(noun, predeterminer, adverb)
inside	26	(noun, adjective, preposition)
outside	26	(noun, adjective, preposition)
standard	26	(noun, adjective)
bus	25	(noun, verb)
